name,aupr,aupr_ci_b,aupr_ci_t,biased_f1,biased_f1_ci_b,biased_f1_ci_t,biased_precision,biased_recall,mixed_f1,mixed_f1_ci_b,mixed_f1_ci_t,mixed_precision,mixed_recall
Logistic Regression - Sick Only Biased Multiple,0.184225021025,0.130802750313,0.43311166757,0.6640625,0.614792775263,0.712657043571,0.723404255319,0.613718411552,0.130420142461,0.0897425581867,0.22630661809,0.0729626486796,0.613718411552
Logistic Regression - Sick Only Gold Multiple,0.649561934086,0.58753321987,0.703977852844,0.651356993737,0.6,0.696595860566,0.772277227723,0.563176895307,0.651356993737,0.603678858232,0.700646792304,0.772277227723,0.563176895307
Logistic Regression - Sick Only Silver Multiple,0.708647381288,0.64842227692,0.757005759479,0.658585858586,0.602391770472,0.703500887924,0.747706422018,0.58844765343,0.658585858586,0.609806802226,0.700224912695,0.747706422018,0.58844765343
Logistic Regression Mult Biased,0.249320262382,0.189162240465,0.399989596846,0.640332640333,0.593532686269,0.690453340403,0.754901960784,0.5559566787,0.147191851791,0.0937786344158,0.259441663133,0.0848247837099,0.5559566787
Logistic Regression Mult Gold,0.558594264828,0.486329933428,0.667281185098,0.64,0.588977089295,0.684739023848,0.717488789238,0.57761732852,0.48400462027,0.301705970601,0.673372370946,0.416503196277,0.57761732852
Logistic Regression Mult Silver,0.583629930327,0.519379365182,0.654270224899,0.608365019011,0.558751176233,0.655808423913,0.642570281124,0.57761732852,0.608365019011,0.56,0.658826929616,0.642570281124,0.57761732852
Prototype Multiple,0.000785548786942,0.000654279634247,0.000914239772496,0.330180567498,0.29210957608,0.365486808566,0.216704288939,0.693140794224,0.00626711459708,0.00535477466906,0.00717321154308,0.00314778784689,0.693140794224
Random Forest Mult Biased,0.0263813628758,0.016679675969,0.177614522502,0.492822966507,0.429935221783,0.544610644413,0.730496453901,0.371841155235,0.0726564579698,0.0468894411035,0.122299533995,0.0402617293598,0.371841155235
Random Forest Mult Gold,0.30565227209,0.231142604847,0.446398863695,0.361643835616,0.300262079672,0.423084958217,0.75,0.238267148014,0.361643835616,0.292934078299,0.421569952305,0.75,0.238267148014
Random Forest Mult Silver,0.401458143021,0.335195347026,0.493673539059,0.372972972973,0.310847540468,0.437526355422,0.741935483871,0.249097472924,0.372972972973,0.306903191118,0.430939226519,0.741935483871,0.249097472924
SVM Mult Biased,0.17547288615,0.120312049438,0.483346700316,0.675471698113,0.629406847808,0.71985528757,0.707509881423,0.646209386282,0.121468725113,0.0834052211761,0.195617430634,0.0670346531677,0.646209386282
SVM Mult Gold,0.287004894212,0.210079914191,0.565278359278,0.490956072351,0.430043223705,0.551221075672,0.863636363636,0.342960288809,0.346619999466,0.208071025551,0.538276353276,0.350358657717,0.342960288809
SVM Mult Silver,0.386675497618,0.303893654207,0.641621098097,0.443835616438,0.38168828892,0.505102040816,0.920454545455,0.292418772563,0.235704443005,0.127215632646,0.467874868122,0.19741583795,0.292418772563
