name,aupr,aupr_ci_b,aupr_ci_t,biased_f1,biased_f1_ci_b,biased_f1_ci_t,biased_precision,biased_recall,mixed_f1,mixed_f1_ci_b,mixed_f1_ci_t,mixed_precision,mixed_recall
Logistic Regression Sick Biased,0.628992434608,0.546539547007,0.758430296892,0.874327628362,0.859999750872,0.889882732399,0.815693430657,0.942044257113,0.0967408255508,0.0820636433139,0.11419087093,0.0509884784678,0.942044257113
Logistic Regression Sick Gold,0.900070244022,0.882267227446,0.91771264569,0.853046594982,0.836162335828,0.868892374893,0.8296812749,0.877766069547,0.853046594982,0.83478791219,0.870505713077,0.8296812749,0.877766069547
Logistic Regression Sick Silver,0.91393405014,0.899779166676,0.928750230912,0.867357512953,0.851581328083,0.884015565998,0.853211009174,0.881981032666,0.867357512953,0.851992781892,0.882236488504,0.853211009174,0.881981032666
Prototype Sick,0.830365367555,0.805953705004,0.852525481744,0.649760109664,0.626042442176,0.66870060359,0.481462671407,0.99894625922,0.649760109664,0.6295155103,0.668480209526,0.481462671407,0.99894625922
Random Forest Sick Biased,0.594170119795,0.536830042849,0.702763294483,0.851942941466,0.834652862254,0.868475100016,0.79889298893,0.912539515279,0.0748366401027,0.0639963036112,0.088912150322,0.0390182477906,0.912539515279
Random Forest Sick Gold,0.806309306951,0.776820402441,0.844331597937,0.837905236908,0.820016926424,0.853804454958,0.795454545455,0.885142255005,0.509986366717,0.381688680517,0.678121638288,0.35817753526,0.885142255005
Random Forest Sick Silver,0.868351442099,0.846815424487,0.891752588846,0.839818089944,0.821105474934,0.856436393352,0.806796116505,0.875658587987,0.776580821884,0.660844347151,0.852251321272,0.697644715,0.875658587987
SVM Sick Biased,0.824425279933,0.786221439904,0.867219334056,0.875424139603,0.859243019882,0.889403726333,0.810592459605,0.951527924131,0.156081310368,0.126533343951,0.198811275095,0.0850131023826,0.951527924131
SVM Sick Gold,0.877182031185,0.851219762177,0.909353033435,0.88486676722,0.871483027546,0.899351810943,0.846153846154,0.927291886196,0.488820028485,0.369722710108,0.666540663388,0.331886717777,0.927291886196
SVM Sick Silver,0.932338119411,0.918064410256,0.945054660001,0.832638475283,0.813680461365,0.85143890364,0.957534246575,0.736564805058,0.832638475283,0.813183552353,0.850995657695,0.957534246575,0.736564805058
