name,aupr,aupr_ci_b,aupr_ci_t,biased_f1,biased_f1_ci_b,biased_f1_ci_t,biased_precision,biased_recall,mixed_f1,mixed_f1_ci_b,mixed_f1_ci_t,mixed_precision,mixed_recall
Logistic Regression Sick Biased,0.951822656516,0.941689126787,0.961291996451,0.8818359375,0.866658536585,0.896420894057,0.821656050955,0.951527924131,0.840709827584,0.822192878226,0.859745055025,0.753011600238,0.951527924131
Logistic Regression Sick Gold,0.950086056577,0.938756139511,0.959914293131,0.876604146101,0.860176266751,0.891272812622,0.824512534819,0.935721812434,0.867139930466,0.850094474375,0.882385782674,0.807924686419,0.935721812434
Logistic Regression Sick Silver,0.942066639353,0.93020703226,0.953750587749,0.879417879418,0.863112700457,0.895198992052,0.867692307692,0.891464699684,0.879417879418,0.863256228579,0.894167849768,0.867692307692,0.891464699684
Prototype Sick,0.830456015485,0.805858132016,0.853993107685,0.649760109664,0.629822732013,0.671617260942,0.481462671407,0.99894625922,0.649760109664,0.629564248516,0.668704183047,0.481462671407,0.99894625922
Random Forest Sick Biased,0.90366279006,0.889287679336,0.91762880605,0.852766798419,0.836699140369,0.868783119934,0.802790697674,0.90937829294,0.763082665609,0.740541020674,0.786519847843,0.657334427326,0.90937829294
Random Forest Sick Gold,0.92098127646,0.9078187941,0.933761671644,0.837640175524,0.820636914138,0.854512852077,0.779491833031,0.905163329821,0.826288137413,0.807280368829,0.843025841882,0.760057360517,0.905163329821
Random Forest Sick Silver,0.916915135303,0.902348229868,0.929934741869,0.835241413639,0.818463342148,0.852426636637,0.791509433962,0.884088514226,0.835241413639,0.817576805498,0.851025030932,0.791509433962,0.884088514226
SVM Sick Biased,0.901449594667,0.885182559493,0.916954626455,0.862973760933,0.847205773557,0.877716346154,0.800721370604,0.935721812434,0.71614725934,0.693927039776,0.7392692046,0.580036977069,0.935721812434
SVM Sick Gold,0.94135271294,0.92989334542,0.951633990022,0.881,0.866285301462,0.896487748232,0.838249286394,0.928345626976,0.854131430735,0.836096440837,0.870721431367,0.790904602622,0.928345626976
SVM Sick Silver,0.903072417677,0.888825184901,0.916880007363,0.0691759918616,0.049347787276,0.0894646869546,1.0,0.0358271865121,0.0691759918616,0.0483299093656,0.0921969582832,1.0,0.0358271865121
