Review,FoodborneAsBoolean
"We had a party of 18 people for Easter dinner yesterday.  We were seated in a very overcrowded dining area with 1 long table so that we couldn't speak to anyone at the other end at all.  It was so packed, they put up a tent outside so that they could accommodate more people, I should have known that it would be a problem since the kitchen and wait staff were still the same and not equipped to handle the masses.  We had the most obnoxious waiter, Peter, he was abrupt and in a hurry and we felt like we couldn't make an informed decision about our menu choices.  He pushed appetizers on us without us even looking at the menu, he was acting like a big shot - ""who's in charge here?  You want me to do platters for the table..."" The apps came out fast, however, we waited and waited for the rest.  Some of us got the set Easter menu which was a 4 course meal for $36.95 - the first course was a choice of soup, we got half empty dishes of soup, some had more than others served room temperature.  The bread was gone and never replaced, one of the guests didn't get his meal until the rest of us were finished and when he did, it was cold.  I got the lamb which was sliced so thin and was fatty, I had to cut most of it away.  It was pre-cooked and dipped in juice to moisten and served.  I went home hungry.  Then when it was time for dessert, obnoxious Peter re-surfaced (he was gone most of the 4 hours that we were there) and told us he would do a platter of the desserts that came with the pre-fixe so everyone could share.  You know what he did instead?  He brought out a variety (without asking us what we wanted) of sliced cake on individual plates and just spread them out across the very long table.  He was so obnoxious, did I say that already?  Oh and in the beginning of our day, we asked him for 3 separate checks so it would be easier for us when we had to pay, he told us not to worry about it now, we will do it at the end.  That turned into another fiasco.  He divided the checks the way he thought they should be and the audacity to include his tip in all of them, we had him redo them because they weren't correct, and while we were standing with him at the register, half way through he threw up his hands and said he couldn't ""do this no more"" and walked away and had the manager Nina come and take over.  She was very nice about it with us, but it didn't make up for a horrible Easter meal/service.  Peter even tried to switch a receipt on us for a higher one, because he forgot to include his tip in it!   The nerve!   I have been going out to restaurants for Easter for 10 years, we try different places all the time, I have never had such a horrible experience.  Then to end the 4 hour long ordeal (the menu stated 1 1/2 hour seating please ....Ha!) while I was waiting on the valet to get my car, another family were waiting also, and one of the men started projectile vomiting right there in front of the place!   How very apropos!  Then the next day, my cousin called me to tell me that they switched our credit cards, she was charged for our meals and we were charges for hers!   I owe her $90.


P.S. - My cousin called the restaurant the next day to talk to the owner who she knows casually and instead of apologizing and trying to make it right, he said that he never got a complaint and that we were rude to them!   Will never return, Ciao Uncle Bacala!   You will not see the likes of us again, and I will tell anyone who will listen not to patronize your pitiful excuse of a restaurant.",1.0
"Several years ago I was very sick and searching for the best source of chicken pho I could find that wasn't too far from my house. I saw a review for Gia Lam and went, requesting a chicken pho that's made with chicken broth. It was delicious then and I'm happy to say it's still delicious now. The chicken is cooked in a way that comes out moist and savory that's just delicious (I rarely eat meat but for this when I'm sick I make an exception). My roommate loved her beef pho as well and we both thought our coffees with condensed milk were delicious. The server also was super sweet and the place was full of locals by the time we left which is always a good sign.",1.0
"Maybe it depends on what you get but I have explored a lot on this menu and have never been disappointed.  It is perfect for me on a lazy Sunday with great breakfast and lunch options, great shakes and when I was sick with stomach issues I ordered soups, salad, and jello.  I agree quality has gone down a bit, prices up-but not significant enough for this to be a top 5 seamless spot for me and my family.",1.0
"Yummy Sushi is not yummy and the falafel made me feel awful. The California roll was the smallest I've ever seen. 6 pieces the size of quarters. My daughter was still hungry. The falafel pita was tiny and disgusting. The falafel was green and smelled strongly of fish. It had chucks of tomato, lettuce and lots of dill pickle slices. The smell of the fish and pickles made me sick to my stomach. Couldn't eat it. The only good thing was the tempura vegetables, but only slightly. There were 2 slices of sweet potato and 3 slices of eggplant. The tempura batter and dipping sauce were delicious, but not enough to redeem this mess of a dinner. More than $20 and we're still hungry. 2 thumbs down from us.",1.0
"I will give the food a 3 star really. Its nothing special at all however its decent.

My real gripe is that I just left there and I am having the worst stomach pains in years. I generally don't get sick eating almost anything but I am not sure if its how the food was handled or preparation but something went terribly wrong. Again food didn't taste bad but I am having the worst night in a long time. I can only point towards the food. Sorry, I won't be back.",1.0
"When I'm craving Chinese food, this is the closest joint I have around my neighborhood. Gave it a try once, left unsatisfied. Gave it a second try, left sick.",1.0
"i was under the impression that this was a nice place boy was i wrong i ordered i platter for the nursing staff at Mt. Sinai as gift for looking after me while i was sick 

the manager was very nice in taking my 120.00 dollars and everything went downhill from there 

1st i asked for them to email me a picture of what i paid for it never happened 

2nd when it was time for the delivery the delivery guy kept calling me about the pick up and not the nursing department 

3rd when they finally delivered the platter the delivery guy harassed the nursing staff for a tip 

lastly, when i called to speak to the manager about my issues i was told Fuck You and  hung up on 

STAY AWAY AND IF THE OWNERS CHECK YELP FIRE YOUR MANAGER AND TEACH YOUR STAFF SOME MANNERS",1.0
"We hosted a corporate event in their event room and the heat was unbearable.  We begged the manager to turn on the air conditioning, and they never did.  We disappointed our clients and had two customers feel so sick we almost called an ambulance.  The food was okay, but for the chaos that was involved and heat of venue, not to mention a poor AV situation with an ancient projector, we will never book another event here.  Look elsewhere for any event that involves a private room.",1.0
I don't like this place and the customers. So much cigarette buds on the sidewalk and someone getting sick on the sidewalk. So annoying.  Please go somewhere else.,1.0
I had ate there twice. To me the food there is tasty but every time returning home I get Diarrhea from the broth. The meats are pricy and dinner charges are even more expensive  than lunch. It's not like no other hot pot but just vegetables.,1.0
"Consistently ill-cooked burgers delivered and when told they did it wrong they push back. I had to take my burger in to get resolution, and even then they acted like they were doing me a favor. Got so sick of their attitude I demanded my money back. This is when the manager told me I had no right to demand anything.

What's most aggravating is how often I've eaten in the restaurant with no problem. Because they didn't see my face, they thought they could push me around like I was just some unhappy customer bothering them. 

Never going back because of their poor customer service and how they resolve wrongly cooked food. This is not how to run a business.

And when they sent me my money back, they sent it without including the tip for the delivery guy. I think that's my decision to make, not the manager's.",1.0
"$3 rolls, $3 beers, $3 appetizers happy hour got me in the door. I had the Kani salad, spicy salmon roll, shrimp tempura roll, and California roll. I would be happy just not get food poisoning for $3 sushi rolls but they were actually very good. They were lacking the flare, aesthetics, and the fresh wasabi you would get at other places. This is excused for their cheap prices.",1.0
"The food was too salty, I had been sick for 2 days. The service is ok. Apparently there are lot of reviews about the salty food but it does not change anything!",1.0
"If I could give it a zero I would, got a English muffin with black mold on  it.  I threw up in my mouth a little bit lol.  Guy who made it offered me another one but I was sick to my stomach.",1.0
"Let's put it this way: it's exactly what you'd expect by looking at it... Should you find yourself here, maybe you should find a dealer who will meet you at your apartment, or try an escort service in lieu of the stroll. Yeah - it's crazy sketch up in here. We all had burgers for lunch and the 2 other tables (at 11 AM) were just drinking Bud tallboys and talking trash - I have no problem with that, but it made a daunting experience slightly more surreal.) Look - there was nothing ""good"" about the food - it tastes exactly like you think it's going to when you look at the outside of the building - kind of like you know what you're about to encounter before you open the door of a porto-potty. But if you're cool with peeing into cold plastic in the dark, then go for it. I guess the best thing I can say is ""I didn't get sick... or shot.""",1.0
"I always said I would never serve fried chicken at my dinner table (mother never served or cooked fried chicken for dinner) but OMG, if I knew how to make fried chicken in this manner, I would be plagued with obesity and whatever other sickness could come from eating fried chicken EVERY-SINGLE-DAY! 

I really wished their waffle tastes like something, anything, I mean a hint of chocolate would be nice but nope... Simple waffle that's red. How about adding white chocolate in the batter or coco for favor?!?! 

I'm watching you SoCo and once I taste my idea in your waffle, I want my cut!!!! Lol

Oh and if staff is in one of their 'moods', stay home! Our server look like someone pinched his butt really hard and he was done with the entire world afterwards. Lol",1.0
"HORRIBLE AVOID AT ALL COSTS!  I ordered from them the day before and the service wasn't that bad so I did it again today on Sunday.  I ordered a simple orange juice and omelet.  They didn't deliver the orange juice so i called up just informing and asking if i can cancel.  Right away the girl said she'd have' him' talk to me, didn't explain why just shoved some guy on the phone.  Right off the bat he was nasty and when i asked him not to speak or raise his voice to me, he claimed he did it because i was...which i wasn't (and trust me that's rare for me).  I then asked for his name and he refused claiming he didn't have to tell me. I am so disgusted i can't even eat the omelette they DID send me.  Avoid this place, they are nasty, they don't care about their customer and they will use sick excuses like claiming you are being nasty to them for them to be nasty to you.  AVOID AVOID AVOID! I will make sure I never order from ANY of the Europa Cafes if this is the type of disrespect they allow in their establishment.",1.0
"I've received food poisoning once from their cooked food and was sold a rotten fish once. They wouldn't give me a refund. I started showing their customers what they sold me, and eventually they refunded the money. This place is run by crooks. Enough said. I've never gone back. The service is always dismal. They opened a store called meat heaven a block away. I've been shopping here ever since. They always greet you with a smile and have fresh products.",1.0
"I can't figure out why the high ratings at this store maybe it's because of the convenience of being so close to the 116th 6 Stop (which is the ONLY reason I myself have stopped in). I feel sorry for the people who only shop here because they are pumping their bodies with GMO's, pesticides, and sugar and fat. The only thing redeemable about this store is the fact they have a small juice bar so if/when you catch it open this is probably the best thing even though it's conventional or gmo produce. The store is expensive and for a middle income community forced to shop there I found this sad. Even some grocers will carry a small albeit poor selection of organic or non/gmo food but this store has virtually none. Their produce is very high too. Save yourselves walk 2 blocks west to Fine Fare or stop at Trader Joe's and get affordable produce. Really $3 for 3 apples (gmo) and $6 for a honeydew melon, they cost much less than that at Trader Joe's? I believe this store is all about the major chains and how it sickens and ruins people, charge out the ass for things you can get elsewhere for much cheaper. They can keep their Campbell's, Kellogg's, and Kraft products because I don't consume those cancer ridden foods and families shouldn't either.",1.0
Super strong margaritas! Pace yourself though because one is enough! I got the seafood enchiladas as well and they were tasty and service was friendly and quick. I did feel a bit sick after the meal so I am not sure if it was that one margarita or the food. But not a bad spot for tex mex and quite a lively vibe.,1.0
Not a review about food but what happened yes the food is good and some of the people there are really nice this has to do with I don't know how many owners this place has but the owner / manager there this easter sunday. I did not want to cook so I thought let me go here to get something to eat I have a lot to say but I will try to keep it short after my food was finally done the manager / owner I don't know his name got my order proceeded to bag my food in a paper bag but stopped since one of the waitress / server started talking to him finally after she stopped talking he finally started to finish bagging my order not with a new plastic bag but a bag that was already on the counter when I came in around 11:40 am I didn't mind too much but I kept my mouth shut but what made me mad was after he put my order in the plastic bag he coughs right on both bags to me this is disgusting and disrespectful I am always respectful when I come here after seeing this I still kept my mouth shut and just said thank you and all I got in return was an attitude when I got outside I took out my order of food from the bags he cough on and the foil tray the food was in was not properly covered and almost fell out on to the sidewalk cause I did not want to get sick so I put it in one of the bags I got from the grocery store the point of my review is people are disrespectful to other's by not covering their mouth's when they cough and sneeze and in return other's get sick I have multiply health issues when I get sick it takes a long time for me to get better I don't know if he did this on purpose if so that was wrong because people that work there know me and know I am always respectful this has taught me a lesson I am too damn nice and respectful but now I feel I should stop being the way I am and start being disrespectful,1.0
"The only item I've tried here is one of the breakfast wraps to go, which tastes really good.

However, the staff here do not inspire confidence in the safety of the food at all, in terms of their grooming and hygiene.  A lot of them have multiple facial piercings, tattoos, all kinds of weird haircuts, beards, etc.  Nothing wrong with any of that--if you work at a video store--but at an establishment that serves food?  No thanks. 

The last two times I went in, I walked right back out--the first time, about five employees were all standing around doing nothing, either having a discussion with each other, or checking their phones, and one was biting his nails.  Nobody even looked up when I walked in.  

The next time, the guy behind the counter was massaging his long goatee right over the counter.  Yuk.  This dude is going to touch my food after that?!  Don't think so.  Neither time was I greeted or welcomed in any way.  

I understand it must be hard to find qualified workers willing to work for low wages, but that's not my problem.  I am a paying customer who would like to avoid getting sick.  This place needs better management.",1.0
"SO OVERPRICED! I came here on a whim and will not be back. $12 for a pretty small burger and $1 extra for CHEESE! Who charges extra for cheese? Would rather make the long walk to shake shack where the burgers are better and they don't charge extra for the cheese. I also felt sick after eating the burger, so something tells me the meat wasn't cooked right...",1.0
"I was quite hungry and after checking out the menu I went with the titled, ""A great steak sandwich.""  I received a ""not great at all steak sandwich.""  The only thing you can taste when you eat this sandwich is the unclean grill.  I couldn't taste the meat, the blue cheese, the caramelized onions, arugula or bread.  Seemed like a no brainer that this sandwich would be great and easily loved with these ingredients.  But burnt residue from a clearly unclean grill trumped all those great ingredients.  Also served with the steak sandwich is a bacon potato salad, which again sounds great, but the bacon was so undercooked I wondered if it was cooked at all.  It looked exactly how bacon looks when you pull it out of the package.  Hoping I don't get sick, having just left there.  The bartender was very sweet an attentive but the meal was so unsatisfactory I felt compelled to let the yelp community know.",1.0
food poisoning (July 28) from tofu rice 'bliss bowl',1.0
"Hello Silvana and all the rest. Hope that all is well and looks like the place is as good as when we were there. When I came over 2 years ago my intention was to come and help you several times but I got sick for the whole time. 
Please do tell Roberto I said hello. And you can send me a short e-mail at gozovillas@mail.com 
Hope t see you again sometime soon. 
Joe Buttigieg",1.0
"The worst coat checking experience ever in my life. I lost my ticket for the coat and the checker would not give out coat back even though we took the picture of the tickets. We have three coats checked but only mine is lost. Even though we present the two tickets to the checker, they still didn't buy that we three are together. The worst part is that after we decided to wait for the party over and got our coat back, we have been told with different time when we should come back to get the coat. First is 5 am then changed to 6 am then changed to after 12 pm and then 5:30 then 6:30 finally they confirmed that it's 10 pm. Basically we wasted out whole day to get our coat back in such a cold day. Btw my friend got sick and fell in the slippery bathroom. So the party is great to be fair but the experience is awful.",1.0
"This place is filthy! I ordered from here once and soon after I was throwing up. It became nonstop and I went to the emergency room, turns out I contracted H Pylori. Which is a stomach bacteria you get from infected saliva, feces or vomit. I'm assuming someone spit in my food or didn't wash their hands after using the bathroom. Which is disgusting!!! 

I had to put one star because I had no other choice but I wish they would close this place down

I will be reporting them to the board of health. 
Do not eat here!-",1.0
First of let's start by saying that we sat down outdoors and the table given to us was dirty and stained. They didn't change the table cloth even after I complained about it. The gentlemen who was attending us was nice but the fact that he basically recommended plates for us because it was our first time without thinking that we were only 2 upsets me. He gave us a platter of sushi samples that can feed a group 5-7 people. The sushi didn't taste fresh it also got me and my friend sick. The environment was nice but the food experience were horrible.,1.0
"My first impression sums in one word - boring. But than I found it also to be insulting and condescending. The onion soup was bearable but then came a salmon that my wife ordered and the chicken with fries that I had. There was nothing French about these dishes aside of the French accent of the waiter. Hienz ketchup bottle like a soldier in red stood silent to morn the fries that were long gone before they were brought to our table for burial. What can I add about the crepe Suzette that I had for dessert, simply bad.
To sum this dinner event we rolled from side to side in our bed at night keeping ourselves from vomiting. Seriously, this place gave a new meaning to ""bad food""",1.0
"If you would like get poisoned, than this is your spot !!  

Where else can you pay someone and get your stomach pumped from nuclear sea urchin ?",1.0
"I was craving Sichuan food and decided to order from here since the reviews on Yelp seemed like it was decent.I ordered the egg drop soup, scallion pancakes, mapo tofu and the sauteed spicy aromatic shrimp. The overall experience was painful and disgusting.The soup was bland and was not cooked long enough that all the ingredients tasted raw and the liquid was gooey. The scallion pancakes were OK but did not have enough flavor to them. The mapo tofu was delicious and the tofu tasted fresh. The worst dish was the sauteed aromatic shrimp which was mouth numbing experience. The color of the dish was brown and looked over cooked. My boyfriend and I were so hungry at that point thatwe decided to give it a go. The minute we ate this our mouths started to go numb and the taste was as if they had poured gasoline in the dish. I understand some of it might be the spice but I've had enough Sichuan style food that I know what it should taste like. After we ate this, our bodies started to tingle and we felt nausea for about 4 hours. I looked up these symptoms and it's the case of over using MSG. There was SO MUCH MSG used in this dish that my body had a reaction to it instantaneously. I called the restaurant and the lady was nice enough to credit us but what rubbed me the wrong way was that she insisted that it was my first time trying this dish and that I had nothing to compare it by. I've let her know that I've had enough Sichuan food to understand the deeply rooted flavors but nothing should numb the mouth and gives your body a nauseous reaction. This could also be a case of a dirty kitchen and staff who may not have cleaned their ingredients properly. I really had high expectations for this place, but I will never go back after this experience. I understand in NY, most restaurants use MSG but this was a case of over using and making a customer very sick.",1.0
"Food is great in concept. I have been wanting to go here for several months, but we haven't had the time. 

Our first and only visit: Food looked great & staff was amazing. But, I found a hair in my food, and our whole family has been sick ever since we ate lunch there. Hopefully it was just an ""off"" day for the kitchen staff...",1.0
"I went with my husband yesterday July 31st, 2015 for the first time and LAST!
I had as a main course the GRILLED BRANZINO (Olive Oil Crushed Potatoes, Spring Vegetable Salad, Grilled Lemon). When the dish arrived to the table it didn't smelled very good, but I thought I was mistaken....I added extra lemon and ate it....by 2:20 am I felt so sick that I had to run to the bathroom to throw up!

I am so upset that even though I feel sick I couldn't wait until tomorrow to write a review!

A terrible service, awful food and a 200$ dinner!
We will never comeback!
My review is ""ZERO stars!!!""",1.0
"I had always wanted to try this place and a couple of my girlfriends and I were looking for a last minute spot on a Friday night in midtown for dinner.  Both had previously been to Brasserie for lunch and said it was pretty good.  This turned into one of the worst dining experiences any of us have ever had.  I want to preface this review with the fact that I own a food service establishment in NYC myself and dine out nearly 3-4 nights a week so am very familiar with the NY restaurant scene.  This place HAS to be on EATER'S death watch!

We walked into a mostly empty restaurant around 7:30pm.  Everyone dining was a minimum of 65 years old.  The decor was awkward, probably cool in 1959 when it opened but now just dated and bad.  I literally felt like I was in a weird time warp, even everyone's suits looked dated.  The bar was nearly empty as well.  We sat at a table and had a moment of ""should we leave""?  We should have but decided to give it a try.

We were told that a couple of the menu items we were eyeing were unavailable for the night which was disappointing.  We had to ask for an exception when we were also told we couldn't enjoy the $1 oyster happy hour special unless we were seated at the bar.  We ordered two dozen Oysters, the Tuna Tartare, the Frisee Au Lardons Salad, and the Field Greens Salad to start.  When the oyster tower arrived they smelled extremely fishy.  Not being an oyster eater myself I had to switch seats with my friend because the fishy smell was too strong being that close to me.  The Tuna Tartare was ok but had a fishy aftertaste.  The salads were basic, nothing special.  

We noticed the restaurant was seriously freezing, like we were all eating in our coats and shivering.  Our waitress said the building controls the climate so it's sort of out of their hands but they were working on it.  By the end of dinner the climate turned into a balmy/greenhouse feel which was strange and also uncomfortable.  

My friends both ordered the Scallops for dinner and I ordered the Chicken Paillard.  Their Scallops also arrived very fishy smelling and one of my friends said she had tried the scallops at lunchtime and they were WAY better before.  My Chicken was boring and tasteless, I could have made it better at home myself. I had to ask for balsamic vinegar to bring some kind of taste to it.  

The only saving grace to this place were the complimentary Petits Fours we received for dessert only because we told the manager the scallops were fishy.  At least the pastry chef might know what he/she is doing.  Also the free baguette and butter was decent so we tried to fill up on that. 

By the time we left around 9:00pm there was NO ONE at the bar.  One of my friends went home and got very sick from her meal.  I'm guessing this restaurant has their ""A Team"" in the kitchen during lunch hours because that's when they do the bulk of their business, but this experience was horrible all around.  The evening was a waste of time and money and I have a strong feeling this place won't be around for much longer.",1.0
"Ok so I'm never eating at this place again. I just got a delivery two custom rolls that I always get (salmon eel and cream cheese) and I decided to try their steamed lobster and spinach dumplings. The rolls this time fell apart the second you picked the up and you could tell the fish was old. The dumplings inside were very tasty but I didn't expect an order of dumplings to turn into three chunks of lobster, the dough for the dumpling was so raw I couldn't believe it. Raw white rubber. I feel like I'm gonna be sick but I'm trying my best to keep it down but it's coming up. Never ordering here again, the price and convenience isn't worth wasting money to get sick, and the fact that I tipped the delivery guy 20% and he was trying to tell me how much to tip him ticked me off beyond belief. What was the reason I didn't call to complain and exchange my food you ask? I already know how rude these people are and know I would've gotten a no once the money was in their hands. The b on their window is bad enough but should really be a d. Gordon Ramsey would walk in here and leave on an ambulance considering all the variety he tries when he goes somewhere. Never again will I give this place one more chance the past year this place turned to shit",1.0
"Average brunch. Inside is very small and with a bar. You line up outside.
We ordered....banana walnut pancakes, corn beef hash, and farmhouse breakfast. Out of all dishes, the pancakes were the best, the other two were okay. I actually think my party that ate the poached eggs got a little bit sick due to the eggs were extremely runny. Our waitress was very nice and refilled out coffee several times. The food came out really slow though. Overall, it truly is good enough to eat, but not great enough to return if there are better options.",1.0
"The food was ""inventive"" and the drinks were pretty good, but that's about all I can say. Many of the waiters were rude and slow. Two of our group ordered the pre-theater fixed price option, but before even our main course arrived we were already late for our show (and we had ordered 2 hrs in advanced). And on top of all that, all FOUR of us ended up getting terribly sick later that night with food poisoning-like symptoms. This was the only type of food we all ate together, so this was about the only lace we could think we got it from. I can maybe see how this place has good ratings if others had better experiences but I have absolutely NO idea how it got a Michelin star.",1.0
